Dog ID,Days in Rescue,Adoption Fee,Sex,Color,Size,Altered Prior to Intake (Y/N/U)
A0001,30,$250,M,Yellow,Medium,Y
A0002,47,$250,F,Black & Tan,Medium,N
A0003,31,$175,F,Brindle,Medium,Y
A0004,90,$250,F,Red  ,Large,N
A0005,11,$195,F,Tan,Small,N
A0006,83,$175,F,Tan,Small,Y
A0009,21,$250,M,Tan & Black,Large,N
A0010,255,$195,F,Red,Medium,N
A0011,64,$250,F,White with Tan spots,Small,N
A0012,76,$250,F,Black w white,Medium,N
A0013,55,$250,M,Brown and white,Medium,N
A0014,16,$250,M,Grey Merle,Small,N
A0015,79,$195,M,Liver & White,Medium,Y
A0017,27,$250,F,Tan & White,Medium,Y
A0018,73,$250,F,Black & White,Medium,N
A0019,8,$250,F,Black & Grey,Small,Y
A0020,125,$195,F,Brindle,Medium,N
A0023,33,$250,F,Black & White,Medium,N
A0024,0,$250,F,White,X Large,N
A0026,25,$250,F,Black & Brown,Medium,N
A0028,11,$250,M,Black,Large,N
A0030,146,$250,F,Black & White ,Medium,N
A0031,51,$250,M,White/Yellow,Medium,N
A0032,25,$250,F,Brown & White,Medium,N
A0033,20,$250,F,Brown & White,Medium,N
A0034,11,$250,M,Black,Medium,N
A0035,55,$250,M,Brown & White,Medium,N
A0038,40,$250,M,Black,Medium,N
A0039,36,$250,M,Tan,Medium,N
A0040,74,$250,F,White with brown/black markings,Medium,N
A0041,9,$250,M,Black,Medium,Y
A0042,62,$250,M,Black with White,Medium,N
A0043,6,$250,M,Brown & White,Small,N
A0047,11,$250,F,Black & White,Small,N
A0048,66,$250,M,Black & White,Large,N
A0050,24,$250,F,Tan & White,Medium,N
A0051,74,$250,M,Tan with Black Mask,Medium,N
A0053,23,$250,F,Black,Medium,N
A0054,31,$250,M,Black,Medium,N
A0055,211,$250,M,White w/ black,Medium,N
A0058,53,$250,M,Red,Small,N
A0061,54,$250,F,Tricolor,Medium,N
A0062,34,$250,F,Tricolor,Medium,N
A0063,15,$250,F,Black & Tan,Small,N
A0065,47,$250,F,Black & White,Medium,N
A0067,61,$250,F,Black & White,Medium,N
A0068,26,$250,F,Brindle & White,Medium,N
A0069,51,$250,F,White/Yellow,Medium,N
A0071,74,$250,F,Black & White,Medium,N
A0073,51,$250,F,White/Yellow,Medium,N
A0074,12,$250,F,Black & White,Medium,N
A0075,31,$250,F,Black & White,Medium,N
A0078,110,$195,M,brown/white,Medium,N
